,"frequency, GHz"
0,4.9041739047114055
1,4.912399887896399
2,4.964870941531373
3,4.966645477090946
4,4.9667104458882205
5,4.969883978035413
6,4.969910012535803
7,4.971070084085727
8,5.513572544748944
9,6.921153662281115
10,7.033314200215581
11,7.979072637296484
12,8.618901752735882
13,12.953023610512263
14,13.054205774202519
15,13.055864552523612
16,13.110755139475023
17,13.112219172683874
18,14.19541371808665
19,14.19669775237115
20,14.22621274504791
21,14.226440396808352
22,14.604008546778777
23,14.607551777028283
24,16.072770765298404
25,16.129715623789153
26,17.840502080993915
27,17.840929693032226
28,17.88254755602924
29,17.883424704742982
30,18.153644273956875
31,18.159998407497895
32,18.27428752961194
33,18.280575383777226
34,18.522311537026038
35,18.529789743325274
36,19.346486586029375
37,19.707584956702526
38,21.811823795095858
39,23.825965393295462
40,25.69625672402185
41,25.6962568247803
42,27.712741765722797
43,28.201931442115978
44,28.416431904364398
45,28.567476120600798
46,28.923258631523748
47,29.005823932289815
48,29.741214614223278
49,29.843484032448387
50,30.838470302649572
51,30.98166305667467
52,32.42528917218259
53,33.166389582208915
54,33.52668013367699
55,34.63105638835813
56,34.631056388453274
57,34.82278019750891
58,34.82278019761792
59,35.35340764208861
60,35.35342288160336
61,37.95153206750483
62,39.086714510153435
63,39.54503813602334
64,43.03602547888158
65,44.45232340905338
66,45.169230379614966
67,45.169230379866534
68,46.06499600459173
69,46.06499604959529
70,49.05295116133939
71,52.11234569208371
72,53.43974307646666
73,53.77894055571672
74,53.778940681000165
75,58.597449065797214
76,59.17135383998101
77,59.29868020452116
78,59.636321123879
79,59.85414037351101
80,60.29594091503922
81,60.46397954317561
82,60.51668790799802
83,62.476423272061
84,62.476427084335185
85,65.26116131056577
86,65.26116131056878
87,66.17935833643315
88,67.83919465255191
89,67.84162282885848
90,68.55293502028856
91,68.72018077655756
92,68.72028164341009
93,73.18292203621691
94,73.18292203630541
95,74.42012042750812
96,74.42012042774401
97,81.23436701547037
98,81.45484981889891
99,81.7278112728928
100,83.97108642551251
101,85.57705287210592
102,87.5470999212721
103,87.54710046344077
104,88.01300636911196
105,88.63535796802863
106,89.45637631992325
107,89.69792281295682
108,89.87769890340736
109,89.89436312110776
110,90.0936374599332
111,90.10142409274226
112,91.01767754765446
113,91.03791263981239
114,91.10122848020524
115,92.16584450555324
116,92.54940903322742
117,92.55102894459682
118,92.74106124180415
119,92.76975648732727
120,92.89227091891759
121,94.89823461221644
122,94.92127785799056
123,94.93718278670546
124,97.44716020411157
125,97.70631657053471
126,99.48467506512232
127,100.47266031993638
128,100.47266032020863
129,102.59352858688933
130,102.76535682101506
131,105.06189999115199
132,105.6927443377717
133,105.69307451660923
134,112.67324831084281
135,112.67324841814862
136,113.45095530854218
137,114.08542724949409
138,114.34377617601623
139,121.31676422060966
140,121.31676422065044
141,122.20971989396544
142,123.3993918178759
143,124.1979738812772
144,125.8365684418058
145,125.83656844235158
146,126.96306203129087
147,130.73523258778033
148,132.59309609174696
149,132.59309641720873
150,137.0998775830402
151,139.35061501891894
152,142.7273000093572
153,142.98162827407668
154,145.29137277803528
155,145.30963791413419
156,146.0771581100564
157,146.43481090134134
158,147.68882006831416
159,147.76284881345066
160,151.5772700527291
161,151.7583967350302
162,152.05584362186306
163,152.0558460485556
164,153.087141144382
165,153.33209518772045
166,153.59652703140767
167,156.94187411640522
168,160.57970592085942
169,163.4782979886499
170,165.0893329887911
171,172.68644888603302
172,173.70944911922342
173,181.4363461004958
174,183.30825688937506
175,183.3082568898372
176,186.57872155777324
177,189.0309284303573
178,191.15532876639605
179,191.84363391600962
180,192.06967278345059
181,192.48989673173338
182,192.4898967317935
183,192.81720288567035
184,193.90005586717518
185,195.81646741290103
186,197.4004333849512
187,199.03755680696534
188,199.03755724630602
189,199.99962197119964
190,201.07589295692256
191,201.10226165791374
192,201.4398415571352
193,201.43984155715728
194,202.88407982943707
195,206.88948671317462
196,210.304715454581
197,211.95520858618056
198,215.7514082348089
199,216.19646230094276
200,227.32167270793414
201,228.1284272065115
202,232.37685898894426
203,239.2368204868347
