,"relaxation_rates, Hz"
0,12.27410195507368
1,24.6629263850674
2,23.784270328574387
3,19.081965069601754
4,20.648508907916575
5,20.248012441559663
6,20.11265260467512
7,17.514463863837435
8,16401340.447054228
9,178.29391976953588
10,1407561.8820182497
11,117.59768190797244
12,8187673847.336641
13,12038142526.8891
14,54871.37486892292
15,46874.17494804131
16,84035.85144412865
17,14212.588733442337
18,45023.30679998167
19,45593.06193087747
20,45130.20931572999
21,45460.504173448295
22,88966.76504317201
23,70873.96118016621
24,126260735.26279676
25,-0.0
26,38110.00409067752
27,38094.07248536791
28,38051.380318974836
29,37871.115579186226
30,94019.00299942069
31,99553.08560674512
32,5065.998100728942
33,3308.8048174980436
34,141032.9501302209
35,158247.33905017792
36,-0.0
37,672319.1621715983
38,17756.32763523926
39,705.596033059432
40,22211893082.261543
41,22211893017.802677
42,9769502710.235186
43,320364926.5187813
44,30570562311.009136
45,30935930223.759445
46,25528891644.05341
47,25611865201.72246
48,-0.0
49,-0.0
50,-45583.02319960515
51,8604.970404028136
52,-0.0022960589413359364
53,246421268.26056388
54,28811748.831281926
55,31690293312.733307
56,31690293312.87194
57,30753394502.41596
58,30753394502.40278
59,-5647129711.747156
60,5647162944.290077
61,10655695067.507391
62,-0.0
63,132.5231294463736
64,0.004674073428683092
65,696210771.542103
66,41259359657.06056
67,41259359657.22133
68,45163923696.16581
69,45163923795.85324
70,-1.736840971486463e-07
71,5846753715.782585
72,646566208.1493162
73,24831547772.607735
74,24831547934.664967
75,16247118973.113459
76,1254282840.5033176
77,16331538538.053625
78,-0.002662926599050663
79,0.000314813127562611
80,28896669399.371536
81,28988072006.90943
82,-0.0005781551926032096
83,65163692604.65093
84,65163695924.42591
85,73747172588.5183
86,73747172588.51334
87,-1.0658912013307547e-06
88,647979.4224601849
89,6509991.925384585
90,431047678.02811944
91,560601.7059777172
92,4677584.956650227
93,38675855657.2323
94,38675855657.1864
95,35434126675.50904
96,35434126675.59954
97,33601275.07870604
98,2.3497747232493756e-06
99,2571763.0259920703
100,-1.0674082186341154e-06
101,9193708629.731934
102,29743690432.891773
103,29743690463.766
104,150728.99907063245
105,-0.0032873073184729626
106,49073095865.71916
107,50176931587.69547
108,181710.31780069484
109,164296.55754120633
110,172001.6033470692
111,185666.1337609593
112,303353.7794037894
113,59577.74896140828
114,-0.00020438312539178095
115,259986.90683681934
116,155592.97710382027
117,177111.75491330647
118,161350.68829696893
119,197732.37267581688
120,0.0003690957641157893
121,331408.7392983064
122,-0.00022136075709465247
123,76197.73594969377
124,34581416932.5732
125,34680159572.21691
126,129999076.23731422
127,51130263014.84507
128,51130263014.509254
129,2.288750678526012e-06
130,12007194317.693697
131,-3.2087394153334983e-06
132,75082326251.34709
133,75112083043.11302
134,69033039719.80785
135,69033039532.80328
136,80782721.07564914
137,32868017117.3885
138,28909553464.80986
139,49966646345.82736
140,49966646345.81051
141,8.161950923143205e-06
142,-7.669819091846285e-05
143,17282915.909699306
144,44292293245.74904
145,44292293245.572495
146,0.0017922596287974794
147,-1.669861577700704e-06
148,37836299307.765144
149,37836299080.68411
150,124567596.76743257
151,0.0151017773969672
152,3465328.0863562752
153,2.9781086807369878e-06
154,3245251.9559056093
155,287999.0845606434
156,42571216918.42923
157,42664835665.67079
158,5562792.41398901
159,215190.53858466452
160,4799862.7123535415
161,786743.8991628157
162,89356718014.05139
163,89356776748.68793
164,356286.2636760087
165,156620.47182522193
166,450159344.1906095
167,0.0011245040365108737
168,7.422946750058876e-06
169,-0.000254475929680836
170,-1.3127632469797613e-06
171,10494239110.918047
172,10397182063.053392
173,408335339.2562192
174,68604004149.43937
175,68604004149.645485
176,1111308924.694791
177,-1.3883938256436598e-06
178,10426456.296031343
179,7228915.854461969
180,-0.0003091248495196718
181,63123884315.66166
182,63123884315.59648
183,304215432.2370696
184,1.9880063373786744e-06
185,2446700078.879084
186,0.0012411066270016967
187,49277515577.35974
188,49277516026.52841
189,1258551494.1755655
190,-0.0021132422476950056
191,88771478678.01588
192,57956106297.39299
193,57956106297.70273
194,89288075457.06625
195,2628431962.5475173
196,3435165844.4788194
197,-8.753789754689675e-06
198,52299187289.25183
199,52368827133.89251
200,86.4838403718174
201,-0.0024354466811132864
202,2.204986065928621e-06
203,-3.5013185116350953e-06
204,-0.0005553140004817952
205,113136069.4941821
206,515282818.8409653
207,181959274383.0395
208,181959274382.9911
209,80892391043.29037
210,80744803501.84822
211,-0.0005129525137799767
212,-0.003975845678879517
213,2.802830228473991e-06
214,121241599112.22726
215,121241599283.08856
216,-6.028169649755652e-06
217,-0.0009985968809077049
218,1688196.9460005562
219,596709.1044688005
220,672052.0334368877
221,611807.4138729101
222,701564.6025314647
223,1192632.7433912747
224,43779.613485997004
225,592554.2091965586
226,659901.7886826498
227,767604.9118710561
228,615336.3139476352
229,696119.6835237972
230,37771159.74785706
231,3.6860660695628142e-06
232,39367636.68847478
233,142377.36216711794
234,60414913062.31759
235,60414914763.73228
236,0.00017374316914043117
237,167102884.53406218
238,74325763251.29367
239,74325763251.3015
240,609478767.348807
241,72159716837.92337
242,72159716838.44054
243,61284915926.57679
244,61312177407.63075
245,119171193801.42566
246,119171187497.00798
247,89180795132.71158
248,89180795133.1246
249,-0.0017318922706057243
250,-1.2622124787393574e-05
251,3.9364038058344124e-06
252,-0.022699450913578403
253,0.0011025993065401057
254,80763820.4184053
255,-1.8076167059624736e-06
256,8407304.253475476
257,4131375132.019111
258,4110237228.081893
259,3326691554.85364
260,2.6139413042988245e-05
261,-0.0006706687512309993
262,3302588180.541047
263,6691191.216104012
264,4.2021222588300474e-06
265,-0.0020580147898263614
266,87709333.99477497
267,-5.077809335005602e-06
268,-0.0020394873247357617
269,270171.767633023
270,93517091918.3378
271,93477469246.59926
272,-9.528148229505285e-06
273,0.001550057642555525
274,0.008853672954226895
275,69272284205.78568
276,69272283804.5385
277,126846385003.5463
278,126704154928.08092
279,66444185521.42887
280,66341708896.826035
281,-0.0013584510840417368
282,78425846518.04167
283,78425846518.04437
284,-0.00014389278302229345
285,-1.8341442616177748e-05
286,611278537.7936724
287,609087621.3857604
288,73852542265.00948
289,73852542263.82027
290,0.00042348603533935687
291,11454397.172696363
292,4.795925859537152e-06
293,84493998571.27623
294,84493998571.40875
295,0.0014039606767213158
296,0.0006828489798677545
297,0.003128079244033462
298,8.32549703932509e-07
299,113079536126.12628
300,113079535780.11345
301,4.31839440432804e-06
302,0.0037839252328304056
303,2201913.221465811
304,122177514.39152187
305,0.0005377082364213198
306,99722306959.29042
307,99724060311.6863
308,171907.09090714753
309,56909722578.14465
310,56909722483.090485
311,479877401.134855
312,439518293.2960049
313,54075925835.161156
314,53995930002.81282
315,8.329003047562664e-06
316,910698860.782791
317,911580174.1449801
318,1092796993.1644452
319,0.0001777747549491254
320,-5.246697745795714e-06
321,870242370.396663
322,134616948918.25555
323,134616948918.32346
324,0.0014367431402602675
325,68802208180.2665
326,68725406126.52336
327,60916813856.14432
328,60916813856.27027
329,1.4563569222013526e-06
330,57356039502.96899
331,57356039502.453545
332,0.000370533630577978
333,0.0017320780538352789
334,-0.0662618512286455
335,85546059.7787197
336,84080568.67803483
337,234952710.60316592
338,785.24321878748
339,-1.2238128686087852e-05
340,9864.030976315333
341,2.4305841500648687e-06
342,123630.55225761312
343,1385163.6932886066
344,202069960.97431523
345,60530227621.74397
346,60530227621.82183
347,154604462.30524302
348,-2.478463472178661e-05
349,2317.8028514748653
350,81839316199.7032
351,169.22356394734092
352,81280305114.6067
353,0.008007192590525016
354,42783335175.95271
355,42783335171.74476
356,5849849.252791868
357,40855593975.78981
358,40807394709.59559
359,0.007845568931286314
360,0.002907680155497015
361,-0.0016831608558757186
362,0.007801471727721276
363,-0.0006782721110431879
364,-1.0367976176468112e-06
365,74583.95952073425
366,-0.0016462428658973066
367,41217244250.602684
368,41217244250.64535
369,69230494063.49197
370,69230494453.1494
371,5.470494170090152e-05
372,39459618989.65725
373,39459618989.54919
374,62658872080.87154
375,62658448974.50958
376,141335401.30204672
377,-4.23591044720067e-06
378,-7.267672670888558e-06
379,18856001177.231617
380,18678182989.965054
381,-0.0012974620781046457
382,25557479365.664635
383,25557480549.76098
384,24679196870.10558
385,24654144407.852486
386,94855862.59064166
387,92698741.16042304
388,-0.0018179932578223823
389,-0.0158735856951845
390,68375106.62042657
391,-1.2998849294378914e-05
392,0.000763408075715543
393,26746461.984458722
394,229625.19666738738
395,240269.54179745834
396,292206.1197827084
397,280201.6846926077
398,548926.9381963288
399,27156.504647467213
400,23324596.734811295
401,227802.73119689696
402,218578.85590439
403,264869.9032014212
404,253997.4003751924
405,29331398590.105984
406,29331398589.893723
407,-0.00814282847203468
408,-1.763773825714307e-06
409,20437075948.158756
410,19933516886.67009
411,123573636.65493941
412,6753.19754655142
413,-0.0032138641072784464
414,15235547174.131876
415,15235547174.175018
416,-3.3574302528133603e-06
417,14610877556.027956
418,14610877556.588734
419,0.006238477597459389
420,3017314789.9823027
421,2933090806.0439577
422,53.509786850879294
423,4.867807798017896
424,8252896277.099864
425,8252896185.339434
426,7929985973.374213
427,7921177251.155483
428,17.177676316457504
429,-0.007591127455447672
430,11076557.970966065
431,721.3005592504562
432,0.0005207742972258212
433,-0.003742281214480944
434,-0.004087040053217505
435,-2.426289567130718e-06
436,-0.0033700262283492596
437,182.90515278972677
438,0.004584176225297366
439,-0.0009655374456259867
440,5067.757352388064
441,23617990546.975117
442,23617990547.041798
443,6512.613644635271
444,6389.376624207783
445,2289529819.8669124
446,2289529811.7446346
447,5064505.037130851
448,5064505.05914536
449,38489131.69429562
450,38489131.67878699
451,6832.094391995274
452,27420048.516856287
453,27420048.53270825
454,2957837.7572520827
455,2936212.026921769
456,188786694.39909783
457,188786694.40222728
458,12227962775.567955
459,12227607121.334078
460,1704489566.378394
461,1704479176.6692805
462,-2.3721014506431213e-06
