Solution : Setup1 : LastAdaptive
Parameter : Matrix1
Capacitance Unit: pF

Capacitance
		Bottom	Claw	Ground	MWLine	Top
	Bottom	0.13979	-0.0011965	-0.09356	-0.0002769	-0.04476
	Claw	-0.0011965	0.1309	-0.11623	-2.3131E-05	-0.013456
	Ground	-0.09356	-0.11623	0.32301	-0.030567	-0.082658
	MWLine	-0.0002769	-2.3131E-05	-0.030567	0.03105	-0.00018326
	Top	-0.04476	-0.013456	-0.082658	-0.00018326	0.14106

Capacitive Coupling Coefficient
		Bottom	Claw	Ground	MWLine	Top
	Bottom	1	-0.0088446	-0.44029	-0.0042028	-0.31875
	Claw	-0.0088446	1	-0.56523	-0.00036282	-0.099022
	Ground	-0.44029	-0.56523	1	-0.30522	-0.38724
	MWLine	-0.0042028	-0.00036282	-0.30522	1	-0.0027691
	Top	-0.31875	-0.099022	-0.38724	-0.0027691	1

