Solution : TheWholeChip : LastAdaptive
Parameter : Matrix1
Capacitance Unit: pF

Capacitance
		ground	Q1_bottom	Q1_top	Q2_bottom	Q2_top	Q3_bottom	Q3_top	resonator	T2_large	T2_small	T3_large	T3_small
	ground	      0.938199	     -0.070338	     -0.073785	     -0.081621	     -0.073800	     -0.083599	     -0.073120	     -0.014999	     -0.092547	     -0.055815	     -0.266416	     -0.052157
	Q1_bottom	     -0.070338	      0.136435	     -0.038838	     -0.000233	     -0.000245	     -0.000452	     -0.000776	     -0.011749	     -0.002024	     -0.000770	     -0.010790	     -0.000220
	Q1_top	     -0.073785	     -0.038838	      0.134090	     -0.000236	     -0.000330	     -0.000227	     -0.000380	     -0.000725	     -0.016342	     -0.001642	     -0.001472	     -0.000112
	Q2_bottom	     -0.081621	     -0.000233	     -0.000236	      0.136008	     -0.038912	     -0.000682	     -0.000484	     -0.000024	     -0.001997	     -0.000724	     -0.010623	     -0.000474
	Q2_top	     -0.073800	     -0.000245	     -0.000330	     -0.038912	      0.133401	     -0.000373	     -0.000264	     -0.000022	     -0.016196	     -0.001532	     -0.001487	     -0.000241
	Q3_bottom	     -0.083599	     -0.000452	     -0.000227	     -0.000682	     -0.000373	      0.128859	     -0.039330	     -0.000070	     -0.000129	     -0.000060	     -0.002497	     -0.001441
	Q3_top	     -0.073120	     -0.000776	     -0.000380	     -0.000484	     -0.000264	     -0.039330	      0.132443	     -0.000122	     -0.000152	     -0.000070	     -0.014997	     -0.002747
	resonator	     -0.014999	     -0.011749	     -0.000725	     -0.000024	     -0.000022	     -0.000070	     -0.000122	      0.028467	     -0.000118	     -0.000051	     -0.000553	     -0.000033
	T2_large	     -0.092547	     -0.002024	     -0.016342	     -0.001997	     -0.016196	     -0.000129	     -0.000152	     -0.000118	      0.161083	     -0.030309	     -0.001165	     -0.000105
	T2_small	     -0.055815	     -0.000770	     -0.001642	     -0.000724	     -0.001532	     -0.000060	     -0.000070	     -0.000051	     -0.030309	      0.091517	     -0.000498	     -0.000047
	T3_large	     -0.266416	     -0.010790	     -0.001472	     -0.010623	     -0.001487	     -0.002497	     -0.014997	     -0.000553	     -0.001165	     -0.000498	      0.331206	     -0.020710
	T3_small	     -0.052157	     -0.000220	     -0.000112	     -0.000474	     -0.000241	     -0.001441	     -0.002747	     -0.000033	     -0.000105	     -0.000047	     -0.020710	      0.078287

Capacitive Coupling Coefficient
		ground	Q1_bottom	Q1_top	Q2_bottom	Q2_top	Q3_bottom	Q3_top	resonator	T2_large	T2_small	T3_large	T3_small
	ground	      1.000000	     -0.196600	     -0.208030	     -0.228492	     -0.208608	     -0.240434	     -0.207432	     -0.091780	     -0.238062	     -0.190482	     -0.477929	     -0.192452
	Q1_bottom	     -0.196600	      1.000000	     -0.287140	     -0.001712	     -0.001813	     -0.003408	     -0.005774	     -0.188528	     -0.013654	     -0.006890	     -0.050757	     -0.002126
	Q1_top	     -0.208030	     -0.287140	      1.000000	     -0.001748	     -0.002469	     -0.001729	     -0.002851	     -0.011739	     -0.111196	     -0.014820	     -0.006983	     -0.001096
	Q2_bottom	     -0.228492	     -0.001712	     -0.001748	      1.000000	     -0.288879	     -0.005149	     -0.003606	     -0.000388	     -0.013492	     -0.006487	     -0.050049	     -0.004590
	Q2_top	     -0.208608	     -0.001813	     -0.002469	     -0.288879	      1.000000	     -0.002847	     -0.001989	     -0.000349	     -0.110483	     -0.013867	     -0.007074	     -0.002354
	Q3_bottom	     -0.240434	     -0.003408	     -0.001729	     -0.005149	     -0.002847	      1.000000	     -0.301058	     -0.001154	     -0.000893	     -0.000549	     -0.012088	     -0.014346
	Q3_top	     -0.207432	     -0.005774	     -0.002851	     -0.003606	     -0.001989	     -0.301058	      1.000000	     -0.001992	     -0.001040	     -0.000637	     -0.071604	     -0.026979
	resonator	     -0.091780	     -0.188528	     -0.011739	     -0.000388	     -0.000349	     -0.001154	     -0.001992	      1.000000	     -0.001743	     -0.001005	     -0.005694	     -0.000708
	T2_large	     -0.238062	     -0.013654	     -0.111196	     -0.013492	     -0.110483	     -0.000893	     -0.001040	     -0.001743	      1.000000	     -0.249626	     -0.005043	     -0.000935
	T2_small	     -0.190482	     -0.006890	     -0.014820	     -0.006487	     -0.013867	     -0.000549	     -0.000637	     -0.001005	     -0.249626	      1.000000	     -0.002858	     -0.000559
	T3_large	     -0.477929	     -0.050757	     -0.006983	     -0.050049	     -0.007074	     -0.012088	     -0.071604	     -0.005694	     -0.005043	     -0.002858	      1.000000	     -0.128611
	T3_small	     -0.192452	     -0.002126	     -0.001096	     -0.004590	     -0.002354	     -0.014346	     -0.026979	     -0.000708	     -0.000935	     -0.000559	     -0.128611	      1.000000

