,ground,Q1_bottom,Q1_top,Q2_bottom,Q2_top,Q3_bottom,Q3_top,resonator,T2_large,T2_small,T3_large,T3_small
ground,0.938199,-0.070338,-0.073785,-0.081621,-0.0738,-0.083599,-0.07312,-0.014999,-0.092547,-0.055815,-0.266416,-0.052157
Q1_bottom,-0.070338,0.136435,-0.038838,-0.000233,-0.000245,-0.000452,-0.000776,-0.011749,-0.002024,-0.00077,-0.01079,-0.00022
Q1_top,-0.073785,-0.038838,0.13409,-0.000236,-0.00033,-0.000227,-0.00038,-0.000725,-0.016342,-0.001642,-0.001472,-0.000112
Q2_bottom,-0.081621,-0.000233,-0.000236,0.136008,-0.038912,-0.000682,-0.000484,-0.000024,-0.001997,-0.000724,-0.010623,-0.000474
Q2_top,-0.0738,-0.000245,-0.00033,-0.038912,0.133401,-0.000373,-0.000264,-0.000022,-0.016196,-0.001532,-0.001487,-0.000241
Q3_bottom,-0.083599,-0.000452,-0.000227,-0.000682,-0.000373,0.128859,-0.03933,-0.00007,-0.000129,-0.00006,-0.002497,-0.001441
Q3_top,-0.07312,-0.000776,-0.00038,-0.000484,-0.000264,-0.03933,0.132443,-0.000122,-0.000152,-0.00007,-0.014997,-0.002747
resonator,-0.014999,-0.011749,-0.000725,-0.000024,-0.000022,-0.00007,-0.000122,0.028467,-0.000118,-0.000051,-0.000553,-0.000033
T2_large,-0.092547,-0.002024,-0.016342,-0.001997,-0.016196,-0.000129,-0.000152,-0.000118,0.161083,-0.030309,-0.001165,-0.000105
T2_small,-0.055815,-0.00077,-0.001642,-0.000724,-0.001532,-0.00006,-0.00007,-0.000051,-0.030309,0.091517,-0.000498,-0.000047
T3_large,-0.266416,-0.01079,-0.001472,-0.010623,-0.001487,-0.002497,-0.014997,-0.000553,-0.001165,-0.000498,0.331206,-0.02071
T3_small,-0.052157,-0.00022,-0.000112,-0.000474,-0.000241,-0.001441,-0.002747,-0.000033,-0.000105,-0.000047,-0.02071,0.078287
