Resonator 1 frequency, GHz: 5.158 Q,1e3: 102.266
Resonator 2 frequency, GHz: 7.824 Q,1e3: 102.224
Resonator 3 frequency, GHz: 9.325 Q,1e3: 102.21
Resonator 4 frequency, GHz: 5.491 Q,1e3: 102.259
Resonator 5 frequency, GHz: 9.826 Q,1e3: 102.207
Resonator 6 frequency, GHz: 7.491 Q,1e3: 102.228
Resonator 7 frequency, GHz: 8.158 Q,1e3: 102.221
Resonator 8 frequency, GHz: 9.659 Q,1e3: 102.208
Resonator 9 frequency, GHz: 8.992 Q,1e3: 102.213
Resonator 10 frequency, GHz: 7.157 Q,1e3: 102.233
Resonator 11 frequency, GHz: 8.491 Q,1e3: 102.217
Resonator 12 frequency, GHz: 5.324 Q,1e3: 102.263
Resonator 13 frequency, GHz: 8.324 Q,1e3: 102.219
Resonator 14 frequency, GHz: 9.158 Q,1e3: 102.211
Resonator 15 frequency, GHz: 6.657 Q,1e3: 102.24
Resonator 16 frequency, GHz: 8.658 Q,1e3: 102.216
Resonator 17 frequency, GHz: 7.657 Q,1e3: 102.226
Resonator 18 frequency, GHz: 6.991 Q,1e3: 102.235
Resonator 19 frequency, GHz: 6.324 Q,1e3: 102.245
Resonator 20 frequency, GHz: 9.492 Q,1e3: 102.209
Resonator 21 frequency, GHz: 4.991 Q,1e3: 102.269
Resonator 22 frequency, GHz: 6.157 Q,1e3: 102.248
Resonator 23 frequency, GHz: 7.324 Q,1e3: 102.23
Resonator 24 frequency, GHz: 5.991 Q,1e3: 102.25
Resonator 25 frequency, GHz: 6.824 Q,1e3: 102.237
Resonator 26 frequency, GHz: 8.825 Q,1e3: 102.214
